Price,Close,High,Low,Open,Volume
Ticker,IBM,IBM,IBM,IBM,IBM
Date,,,,,
2015-01-02,97.5667495727539,98.31930649371675,96.92858768414713,97.11522310736864,5779673
2015-01-05,96.03153991699219,97.09113280156966,95.83888928588433,97.09113280156966,5104898
2015-01-06,93.96055603027344,96.30249843227679,93.4187240885518,96.12790301514758,6429448
2015-01-07,93.34645080566406,94.64083960036433,92.73236899265714,94.64083960036433,4918083
2015-01-08,95.37535095214844,95.74861229824847,93.64749059761971,94.06289698848727,4431693
2015-01-09,95.79073333740234,96.53124061420002,94.67093997073448,95.37532705063758,4694762
2015-01-12,94.18330383300781,95.87504391960323,93.77392229596144,95.724528653518,4380230
2015-01-13,94.40605163574219,96.3085071708138,93.72574459827237,94.6769675613121,4578865
2015-01-14,93.79798889160156,94.21339520727977,92.55778517330592,93.23206733156668,4906054
2015-01-15,93.05746459960938,94.50236855167456,92.81062884300468,94.3337980254321,4443826
2015-01-16,94.60472869873047,94.89972476351164,92.60595259347971,92.60595259347971,6020776
2015-01-20,94.4903335571289,94.71910442323859,92.73236858927079,94.33981831659034,8778869
2015-01-21,91.56442260742188,93.01534198761412,90.95034074545237,92.13033459169326,12444367
2015-01-22,93.55117797851562,93.74984393255818,91.36576600310019,91.47413623911915,6401625
2015-01-23,93.84016418457031,94.88170244408504,93.25017184994965,93.33445235104017,5057201
2015-01-26,94.13513946533203,96.00146526425047,93.77993344617497,95.27901315825243,8250953
2015-01-27,92.5156478881836,93.37054072411178,91.86544580838056,93.28023541352759,5919942
2015-01-28,91.23931121826172,93.03338672281014,91.23931121826172,92.71431056536625,4702711
2015-01-29,93.60533142089844,93.66554136404574,90.0171704984223,91.13696397665623,8703557
2015-01-30,92.29893493652344,93.46087386158557,92.13638917267278,92.66016589540487,6865526
2015-02-02,93.11164093017578,93.11164093017578,91.21521067730524,92.71429958752049,4928961
2015-02-03,95.40546417236328,95.48372942984025,93.16586707525694,93.16586707525694,5794212
2015-02-04,94.496337890625,95.54991562594711,94.33980743954746,94.6468531138097,3847711
2015-02-05,95.06829071044922,95.47768180918283,94.61073934444997,94.69502942115672,5495266
2015-02-06,95.01374053955078,95.8382664830491,94.71667509576017,95.38962992813352,3406299
2015-02-09,94.4256591796875,95.48661816322628,94.21346544770014,94.57722060173676,3198354
2015-02-10,96.1292724609375,96.1292724609375,94.01946921248026,95.02586305045104,4644868
2015-02-11,95.9109878540039,96.45056305991552,95.28654097686368,95.64422896306436,3793528
2015-02-12,96.10502624511719,96.69916687386063,95.84433435607666,96.2262812119546,3486423
2015-02-13,97.24479675292969,97.48729697870037,96.17777060090226,96.26264229318248,3877417
2015-02-17,97.58431243896484,97.85712884834474,96.83861038276663,96.85073491142354,3027647
2015-02-18,98.33002471923828,98.49977781448509,97.39032043042212,98.12995546099724,4558886
2015-02-19,99.36067199707031,99.72442722726393,97.87532523857966,98.24514757159652,3665602
2015-02-20,99.21516418457031,99.63348461861369,98.26939288102885,99.20909708197853,3507238
2015-02-23,98.76652526855469,99.66985586191713,98.51795791972879,99.56679253147705,2839262
2015-02-24,99.93054962158203,100.02754584200775,97.91775225456522,98.51188313386886,4917874
2015-02-25,98.70588684082031,100.00935569539033,98.56644027078475,99.99722149243254,4188812
2015-02-26,97.52975463867188,99.51223617983392,96.86286680622844,99.26973591185462,7437897
2015-02-27,98.17845916748047,98.39065294680026,97.09930831496283,97.52975330010858,4612860
2015-03-02,97.29328918457031,98.17843769651101,96.88709334708197,98.17843769651101,6190123
2015-03-03,97.62674713134766,98.06324948898623,97.00229040007194,97.16598604148564,3383182
2015-03-04,96.65064239501953,97.34177906759687,96.22625496504547,97.32965454186024,3800746
2015-03-05,97.71768188476562,97.9116839997315,96.82040879800041,96.91741469368263,3966118
2015-03-06,96.09288787841797,97.87530950797442,95.82613860146817,97.11747333167109,4749049
2015-03-09,97.46910858154297,97.6994842646138,95.9110053026557,95.9110053026557,5432819
2015-03-10,95.67455291748047,97.14171726094206,95.67455291748048,96.75977051826374,4812646
2015-03-11,95.06222534179688,96.4808818298603,94.54083207021704,96.13530868233823,5972555
2015-03-12,95.77763366699219,96.22627021956079,94.74092365558045,94.74092365558045,4777396
2015-03-13,93.5344467163086,95.49873602264613,93.00092887281149,95.4623624450615,6343049
2015-03-16,95.23200225830078,95.23805968401759,93.84971899780389,94.00128043390978,3922082
2015-03-17,95.15922546386719,95.35929464575564,94.19527248309018,94.69846447363783,3464038
2015-03-18,96.8870849609375,97.4266602224914,94.45596757161634,95.0925390388626,6002785
2015-03-19,96.8870849609375,97.5600396817156,96.2808199697715,96.8203952313254,4057016
2015-03-20,98.74830627441406,98.82106310164575,97.21446191854169,97.57821702550987,9420694
2015-03-23,99.80927276611328,100.24578469143087,98.65736549015884,98.68162421634028,6202885
2015-03-24,98.82109069824219,99.9669312168534,98.76046805561704,99.90629889782879,4546021
2015-03-25,96.51725769042969,98.86956070146366,96.51725769042969,98.86956070146366,5678629
2015-03-26,97.35997772216797,97.76011612955209,96.34144975198893,96.5597105837977,4598216
2015-03-27,97.24479675292969,97.547929292442,96.53546835222261,97.48123955316538,3637883
